,index,estimator,value,x,se,bias,variance
0,0,SIPS,0.709171916549131,2,0.009001086081429579,9.64062083588256e-05,0.0034142438264622224
1,0,MSIPS,0.781773630022659,2,0.0004960571429102327,1.1782889833192202e-06,0.00033838885274779465
2,0,IIPS,0.7018421193131641,2,0.010445627163333415,0.0040474269833540594,0.0007823242870291471
3,0,MIIPS,0.7146026812184588,2,0.008000101967669935,0.004559485249129301,0.00022628437050926372
4,0,RIPS,0.7153104813638874,2,0.007873987002629698,0.0011424714531776603,0.0018865956081708783
5,0,MRIPS,0.7445562208473993,2,0.003539030293887824,0.001632820766553612,0.00027160516108122525
6,1,SIPS,0.709171916549131,2,0.009001086081429579,9.64062083588256e-05,0.0034142438264622224
7,1,MSIPS,0.781773630022659,2,0.0004960571429102327,1.1782889833192202e-06,0.00033838885274779465
8,1,IIPS,0.7018421193131641,2,0.010445627163333415,0.0040474269833540594,0.0007823242870291471
9,1,MIIPS,0.7146026812184588,2,0.008000101967669935,0.004559485249129301,0.00022628437050926372
10,1,RIPS,0.7153104813638874,2,0.007873987002629698,0.0011424714531776603,0.0018865956081708783
11,1,MRIPS,0.7445562208473993,2,0.003539030293887824,0.001632820766553612,0.00027160516108122525
12,2,SIPS,0.709171916549131,2,0.009001086081429579,9.64062083588256e-05,0.0034142438264622224
13,2,MSIPS,0.781773630022659,2,0.0004960571429102327,1.1782889833192202e-06,0.00033838885274779465
14,2,IIPS,0.7018421193131641,2,0.010445627163333415,0.0040474269833540594,0.0007823242870291471
15,2,MIIPS,0.7146026812184588,2,0.008000101967669935,0.004559485249129301,0.00022628437050926372
16,2,RIPS,0.7153104813638874,2,0.007873987002629698,0.0011424714531776603,0.0018865956081708783
17,2,MRIPS,0.7445562208473993,2,0.003539030293887824,0.001632820766553612,0.00027160516108122525
18,3,SIPS,0.709171916549131,2,0.009001086081429579,9.64062083588256e-05,0.0034142438264622224
19,3,MSIPS,0.781773630022659,2,0.0004960571429102327,1.1782889833192202e-06,0.00033838885274779465
20,3,IIPS,0.7018421193131641,2,0.010445627163333415,0.0040474269833540594,0.0007823242870291471
21,3,MIIPS,0.7146026812184588,2,0.008000101967669935,0.004559485249129301,0.00022628437050926372
22,3,RIPS,0.7153104813638874,2,0.007873987002629698,0.0011424714531776603,0.0018865956081708783
23,3,MRIPS,0.7445562208473993,2,0.003539030293887824,0.001632820766553612,0.00027160516108122525
24,4,SIPS,0.709171916549131,2,0.009001086081429579,9.64062083588256e-05,0.0034142438264622224
25,4,MSIPS,0.781773630022659,2,0.0004960571429102327,1.1782889833192202e-06,0.00033838885274779465
26,4,IIPS,0.7018421193131641,2,0.010445627163333415,0.0040474269833540594,0.0007823242870291471
27,4,MIIPS,0.7146026812184588,2,0.008000101967669935,0.004559485249129301,0.00022628437050926372
28,4,RIPS,0.7153104813638874,2,0.007873987002629698,0.0011424714531776603,0.0018865956081708783
29,4,MRIPS,0.7445562208473993,2,0.003539030293887824,0.001632820766553612,0.00027160516108122525
30,5,SIPS,0.709171916549131,2,0.009001086081429579,9.64062083588256e-05,0.0034142438264622224
31,5,MSIPS,0.781773630022659,2,0.0004960571429102327,1.1782889833192202e-06,0.00033838885274779465
