,index,estimator,value,x,se,bias,variance
0,0,MSIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
1,0,MIIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
2,0,RIPS,0.428991386422482,3,0.019166395172239968,0.008021566942393518,0.008133684082006007
3,0,MRIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
4,1,MSIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
5,1,MIIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
6,1,RIPS,0.428991386422482,3,0.019166395172239968,0.008021566942393518,0.008133684082006007
7,1,MRIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
8,2,MSIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
9,2,MIIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
10,2,RIPS,0.428991386422482,3,0.019166395172239968,0.008021566942393518,0.008133684082006007
11,2,MRIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
12,3,MSIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
13,3,MIIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
14,3,RIPS,0.428991386422482,3,0.019166395172239968,0.008021566942393518,0.008133684082006007
15,3,MRIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
16,4,MSIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
17,4,MIIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
18,4,RIPS,0.428991386422482,3,0.019166395172239968,0.008021566942393518,0.008133684082006007
19,4,MRIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
20,5,MSIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
21,5,MIIPS,0.7246925661286431,3,0.024730213549307094,0.0021986581942954483,0.020468321055079623
22,5,RIPS,0.428991386422482,3,0.019166395172239968,0.008021566942393518,0.008133684082006007
